"genus","GH","ht.max"
"Tholurna","N.L","0"
"Phyllopsora","N.L","0"
"Biatora","N.L","0"
"Rauiella","N.B","0"
"Usnea","N.L","0"
"Ochrolechia","N.L","0"
"Ramalina","N.L","0"
"Rhizocarpon","N.L","0"
"Flavoparmelia","N.L","0"
"Hypotrachyna","N.L","0"
"Hypogymnia","N.L","0"
"Rhachithecium","N.B","0"
"Acroscyphus","N.L","0"
"Laeviomyces","N.L","0"
"Splachnobryum","N.B","0"
"Ricciocarpos","N.B","0"
"Tetraphis","N.B","0"
"Peltula","N.L","0"
"Pertusaria","N.L","0"
"Amandinea","N.L","0"
"Dirinaria","N.L","0"
"Hafellia","N.L","0"
"Heterodermia","N.L","0"
"Solenospora","N.L","0"
"Pleopsidium","N.L","0"
"Cyrto-hypnum","N.B","0"
"Acroporium","N.B","0"
"Bachmanniomyces","N.L","0"
"Thamnolia","N.L","0"
"Arthopyrenia","N.L","0"
"Illosporium","N.L","0"
"Karschia","N.L","0"
"Catillaria","N.L","0"
"Phaeosporobolus","N.L","0"
"Phaeopyxis","N.L","0"
"Platygraphopsis","N.L","0"
"Racodium","N.L","0"
"Refractohilum","N.L","0"
"Rosellinula","N.L","0"
"Mycoglaena","N.L","0"
"Normandina","N.L","0"
"Miriquidica","N.L","0"
"Phacopsis","N.L","0"
"Arthothelium","N.L","0"
"Pycnothelia","N.L","0"
"Tylophoron","N.L","0"
"Vouauxiella","N.L","0"
"Nephroma","N.L","0"
"Parmotrema","N.L","0"
"Platismatia","N.L","0"
"Tuckermannopsis","N.L","0"
"Lepraria","N.L","0"
"Lecanographa","N.L","0"
"Scoliciosporum","N.L","0"
"Lecidea","N.L","0"
"Siphula","N.L","0"
"Schadonia","N.L","0"
"Tetrodontium","N.B","0"
"Cryptothecia","N.L","0"
"Xanthoria","N.L","0"
"Roselliniella","N.L","0"
"Sarcopyrenia","N.L","0"
"Candelariella","N.L","0"
"Hobsonia","N.L","0"
"Homostegia","N.L","0"
"Leciophysma","N.L","0"
"Porotrichum","N.B","0"
"Thamnobryum","N.B","0"
"Chromatochlamys","N.L","0"
"Myriotrema","N.L","0"
"Coniocybe","N.L","0"
"Cybebe","N.L","0"
"Sclerophora","N.L","0"
"Peltigera","N.L","0"
"Cercidospora","N.L","0"
"Gymnoderma","N.L","0"
"Vouauxiomyces","N.L","0"
"Zwackhiomyces","N.L","0"
"Physma","N.L","0"
"Sarcosagium","N.L","0"
"Sarcogyne","N.L","0"
"Bryoria","N.L","0"
"Cetraria","N.L","0"
"Porpidia","N.L","0"
"Protoblastenia","N.L","0"
"Pyrenula","N.L","0"
"Gyalidea","N.L","0"
"Parmelia","N.L","0"
"Lasallia","N.L","0"
"Umbilicaria","N.L","0"
"Muellerella","N.L","0"
"Polyblastia","N.L","0"
"Dictyonema","N.L","0"
"Crocynia","N.L","0"
"Sagediopsis","N.L","0"
"Agyrium","N.L","0"
"Cresponea","N.L","0"
"Mycomicrothelia","N.L","0"
"Psoroglaena","N.L","0"
"Verrucaria","N.L","0"
"Abrothallus","N.L","0"
"Graphis","N.L","0"
"Caloplaca","N.L","0"
"Fulgensia","N.L","0"
"Arthrosporum","N.L","0"
"Cornutispora","N.L","0"
"Cystocoleus","N.L","0"
"Stereophyllum","N.B","0"
"Aspicilia","N.L","0"
"Candelaria","N.L","0"
"Endococcus","N.L","0"
"Epicladonia","N.L","0"
"Everniicola","N.L","0"
"Hassea","N.L","0"
"Hawksworthiana","N.L","0"
"Heterocyphelium","N.L","0"
"Tephromela","N.L","0"
"Biatoropsis","N.L","0"
"Celothelium","N.L","0"
"Physcia","N.L","0"
"Placynthium","N.L","0"
"Eopyrenula","N.L","0"
"Lichenosticta","N.L","0"
"Lichenoconium","N.L","0"
"Squamarina","N.L","0"
"Minutoexcipula","N.L","0"
"Skyttella","N.L","0"
"Thelocarpon","N.L","0"
"Echinoplaca","N.L","0"
"Gomphillus","N.L","0"
"Gyalideopsis","N.L","0"
"Gyalectidium","N.L","0"
"Sagiolechia","N.L","0"
"Leprocaulon","N.L","0"
"Lichenodiplis","N.L","0"
"Loxosporopsis","N.L","0"
"Marchandiomyces","N.L","0"
"Strangospora","N.L","0"
"Texosporium","N.L","0"
"Sarea","N.L","0"
"Tomasellia","N.L","0"
"Arthrorhaphis","N.L","0"
"Tapellaria","N.L","0"
"Sphaerophorus","N.L","0"
"Stereocaulon","N.L","0"
"Clypeococcum","N.L","0"
"Ionaspis","N.L","0"
"Catinaria","N.L","0"
"Jarixa","N.L","0"
"Leptorhaphis","N.L","0"
"Speerschneidera","N.L","0"
"Multiclavula","N.L","0"
"Coccocarpia","N.L","0"
"Spilonema","N.L","0"
"Diploschistes","N.L","0"
"Bacidina","N.L","0"
"Bryonora","N.L","0"
"Carbonea","N.L","0"
"Glypholecia","N.L","0"
"Brigantiaea","N.L","0"
"Candelina","N.L","0"
"Corticifraga","N.L","0"
"Graphina","N.L","0"
"Lopadium","N.L","0"
"Sporopodium","N.L","0"
"Adelolecia","N.L","0"
"Polycoccum","N.L","0"
"Baeomyces","N.L","0"
"Dibaeis","N.L","0"
"Icmadophila","N.L","0"
"Lopezaria","N.L","0"
"Megalaria","N.L","0"
"Tricharia","N.L","0"
"Glyphis","N.L","0"
"Cliostomum","N.L","0"
"Herteliana","N.L","0"
"Echinothecium","N.L","0"
"Sulcaria","N.L","0"
"Lobothallia","N.L","0"
"Bullatina","N.L","0"
"Halecania","N.L","0"
"Chrysothrix","N.L","0"
"Sporastatia","N.L","0"
"Eiglera","N.L","0"
"Helminthocarpon","N.L","0"
"Stirtonia","N.L","0"
"Trichocolea","N.B","0"
"Japewia","N.L","0"
"Ptychographa","N.L","0"
"Pyrenidum","N.L","0"
"Pyrenidium","N.L","0"
"Xanthopsorella","N.L","0"
"Chionosphaera","N.L","0"
"Sarcographa","N.L","0"
"Belonia","N.L","0"
"Coenogonium","N.L","0"
"Cryptolechia","N.L","0"
"Dimerella","N.L","0"
"Gyalecta","N.L","0"
"Roselliniopsis","N.L","0"
"Orphniospora","N.L","0"
"Ramonia","N.L","0"
"Gypsoplaca","N.L","0"
"Megaspora","N.L","0"
"Tremolecia","N.L","0"
"Nectria","N.L","0"
"Pronectria","N.L","0"
"Arctopeltis","N.L","0"
"Medusulina","N.L","0"
"Phaeographis","N.L","0"
"Phaeographina","N.L","0"
"Dendrodochium","N.L","0"
"Maronea","N.L","0"
"Abietinella","N.B","0"
"Psoroma","N.L","0"
"Arctoparmelia","N.L","0"
"Flavopunctelia","N.L","0"
"Biatorella","N.L","0"
"Piccolia","N.L","0"
"Dacampia","N.L","0"
"Ropalospora","N.L","0"
"Aulaxina","N.L","0"
"Loxospora","N.L","0"
"Heppia","N.L","0"
"Agrestia","N.L","0"
"Melanolecia","N.L","0"
"Calopadia","N.L","0"
"Leproloma","N.L","0"
"Pannaria","N.L","0"
"Steinia","N.L","0"
"Llimoniella","N.L","0"
"Letrouitia","N.L","0"
"Coccotrema","N.L","0"
"Lichenothelia","N.L","0"
"Anema","N.L","0"
"Cryptothele","N.L","0"
"Ephebe","N.L","0"
"Lichenostigma","N.L","0"
"Pachyphiale","N.L","0"
"Edrudia","N.L","0"
"Dirina","N.L","0"
"Gongylia","N.L","0"
"Microlychnus","N.L","0"
"Athelia","N.L","0"
"Waynea","N.L","0"
"Cladidium","N.L","0"
"Clauzadeana","N.L","0"
"Gyrostomum","N.L","0"
"Lettauia","N.L","0"
"Myrionora","N.L","0"
"Omphalora","N.L","0"
"Protoparmelia","N.L","0"
"Psorinia","N.L","0"
"Pyrrhospora","N.L","0"
"Rhizoplaca","N.L","0"
"Tylothallia","N.L","0"
"Cecidonia","N.L","0"
"Frutidella","N.L","0"
"Hypocenomyce","N.L","0"
"Euopsis","N.L","0"
"Lempholemma","N.L","0"
"Lichinella","N.L","0"
"Lichinodium","N.L","0"
"Lichina","N.L","0"
"Metamelaena","N.L","0"
"Peccania","N.L","0"
"Phylliscum","N.L","0"
"Porocyphus","N.L","0"
"Psorotichia","N.L","0"
"Pterygiopsis","N.L","0"
"Pyrenopsis","N.L","0"
"Synalissa","N.L","0"
"Thyrea","N.L","0"
"Thelignya","N.L","0"
"Thermutis","N.L","0"
"Zahlbrucknerella","N.L","0"
"Dendriscocaulon","N.L","0"
"Lobaria","N.L","0"
"Pseudocyphellaria","N.L","0"
"Sticta","N.L","0"
"Kohlmeyera","N.L","0"
"Megalospora","N.L","0"
"Melanomma","N.L","0"
"Melaspilea","N.L","0"
"Helocarpon","N.L","0"
"Micarea","N.L","0"
"Psilolechia","N.L","0"
"Scutula","N.L","0"
"Szczawinskia","N.L","0"
"Microcalicium","N.L","0"
"Acrocordia","N.L","0"
"Anisomeridium","N.L","0"
"Monoblastia","N.L","0"
"Mycoblastus","N.L","0"
"Asterophoma","N.L","0"
"Chaenothecopsis","N.L","0"
"Mycocalicium","N.L","0"
"Phaeocalicium","N.L","0"
"Stenocybe","N.L","0"
"Mycoporum","N.L","0"
"Sphaerellothecium","N.L","0"
"Sphaerulina","N.L","0"
"Stigmidium","N.L","0"
"Myxotrichum","N.L","0"
"Lethariicola","N.L","0"
"Skyttea","N.L","0"
