"shape","x","y"
"hardwood",-3.92154308187479e-07,-0.400000441172964
"hardwood",0.0465563923122168,-0.442958754410375
"hardwood",0.0999845474741818,-0.470392680951259
"hardwood",0.154127527183934,-0.47435744092169
"hardwood",0.201377188244828,-0.452301869688956
"hardwood",0.23535506831063,-0.407647961639258
"hardwood",0.253277556284744,-0.348607463874757
"hardwood",0.278119064534953,-0.3088832174002
"hardwood",0.340938220203789,-0.30698286516234
"hardwood",0.395690207105107,-0.287486474620347
"hardwood",0.433012402328661,-0.250000518855678
"hardwood",0.44681566433705,-0.198935803999259
"hardwood",0.436324559868037,-0.141771042491587
"hardwood",0.406561080110262,-0.0864177622412566
"hardwood",0.428540569842023,-0.0450419858019079
"conifer",0.375,0
"conifer",0.473518836848773,0.0497688248006846
"conifer",0.483089575763182,0.102683837202335
"conifer",0.393382846740469,0.127817806640655
"conifer",0.2754585613487,0.122642024362882
"conifer",0.216506364562614,0.124999976415639
"conifer",0.243940267539212,0.177232929940676
"conifer",0.30738477804786,0.27677041242753
"conifer",0.330471628739031,0.367025798030513
"conifer",0.279860653616671,0.38519498505984
"conifer",0.187500193301299,0.32475969782928
"conifer",0.111394258508022,0.250195439644575
"conifer",0.0791448302181286,0.243582524332919
"conifer",0.0699358835154855,0.329022005105223
"conifer",0.0468783168909764,0.446016083280963
"conifer",1.63397448268891e-07,0.499999999999433
"conifer",-0.0468780875590881,0.446016705522191
"conifer",-0.0699358138626515,0.329022734834206
"conifer",-0.0791447412289079,0.243582792157412
"conifer",-0.111393919194946,0.250195117624219
"conifer",-0.187499613397653,0.324759183598727
"conifer",-0.279860147820914,0.385194818322674
"conifer",-0.330471540891535,0.367026182877554
"conifer",-0.30738511683485,0.276771081254706
"conifer",-0.243940632954542,0.177233439028674
"conifer",-0.216506282865108,0.125000117922683
"conifer",-0.275457937759576,0.122641962448103
"conifer",-0.393382098124879,0.127817847655212
"conifer",-0.483089286396837,0.102684105703225
"conifer",-0.473519234142779,0.0497691794641926
"conifer",-0.375000735288437,2.45096652980659e-07
"conifer",-0.272373034922029,-0.028627373556117
"conifer",-0.250520944135985,-0.0532496879671962
"conifer",-0.319908958491819,-0.103944467335703
"conifer",-0.409700134254497,-0.182409888507446
"conifer",-0.4330128925199,-0.249999669816993
"conifer",-0.362823189409045,-0.26360604247577
"conifer",-0.249974584385396,-0.225077761885477
"conifer",-0.171376699611838,-0.190332790457309
"conifer",-0.160978295354606,-0.221567219421133
"conifer",-0.187499792819526,-0.324758513983973
"conifer",-0.193658496494825,-0.434963059078994
"conifer",-0.152618479253683,-0.46970991863987
"conifer",-0.085998502200912,-0.404589279091804
"conifer",-0.0315185162391943,-0.299875885338154
"conifer",-2.45096172297315e-07,-0.250000000004746
"conifer",0.0315177417137962,-0.299874172331597
"conifer",0.085997272718003,-0.404587395654951
"conifer",0.152617347619444,-0.469709569599594
"conifer",0.193658170995032,-0.434964623277513
"conifer",0.187500258973311,-0.324760791964007
"conifer",0.16097862301995,-0.221568584015968
"conifer",0.171375870302462,-0.190332619924124
"conifer",0.249972584016132,-0.225076848255493
"conifer",0.362821228779327,-0.263605704933416
"conifer",0.433012402323625,-0.25000051885277
"conifer",0.409701406883982,-0.182411417690609
"conifer",0.319910749904931,-0.103945742893786
"conifer",0.250521506484454,-0.0532503209058365
"conifer",0.272371689322409,-0.0286277720866059
