accsym,syn,sym,taxon
ASDOD,ASDOM,ASDOM,Astragalus douglasii var. megalophysus
ASDOP,,ASDOP,Astragalus douglasii var. parishii
ASDOP2,,ASDOP2,Astragalus douglasii var. perstrictus
ASDR2,,ASDR2,Astragalus drabelliformis
ASDI2,ASDR4,ASDR4,Astragalus drepanolobus
ASDR3,,ASDR3,Astragalus drummondii
ASDU2,,ASDU2,Astragalus duchesnensis
ASMOE,ASEA4,ASEA4,Astragalus earlei
ASEA2,,ASEA2,Astragalus eastwoodiae
ASEC2,,ASEC2,Astragalus echinatus
ASED2,,ASED2,Astragalus edulis
ASEG,,ASEG,Astragalus egglestonii
ASLO4,ASEL14,ASEL14,Astragalus elatiocarpus
ASEM2,,ASEM2,Astragalus emoryanus
ASEME,,ASEME,Astragalus emoryanus var. emoryanus
ASEMT,,ASEMT,Astragalus emoryanus var. terlinguensis
ASEN3,,ASEN3,Astragalus endopterus
ASDIE,ASEN6,ASEN6,Astragalus engelmannii
ASEN4,,ASEN4,Astragalus ensiformis
ASENE,,ASENE,Astragalus ensiformis var. ensiformis
ASENG,,ASENG,Astragalus ensiformis var. gracilior
ASEP2,,ASEP2,Astragalus epiglottis
ASEP,,ASEP,Astragalus episcopus
ASEPE,,ASEPE,Astragalus episcopus var. episcopus
ASEPL,,ASEPL,Astragalus episcopus var. lancearius
ASDEN,ASEQ,ASEQ,Astragalus equisolensis
ASER4,,ASER4,Astragalus eremiticus
ASER4,ASERA,ASERA,Astragalus eremiticus var. ampullarioides
ASER4,ASERM,ASERM,Astragalus eremiticus var. malheurensis
ASER4,ASERS2,ASERS2,Astragalus eremiticus var. spencianus
ASER6,,ASER6,Astragalus ertterae
ASEU2,,ASEU2,Astragalus eucosmus
ASEU2,ASEUS,ASEUS,Astragalus eucosmus ssp. sealei
ASEU2,ASEUF,ASEUF,Astragalus eucosmus var. facinorum
ASROF,ASEUF2,ASEUF2,Astragalus eucosmus var. fernaldii
ASEU4,,ASEU4,Astragalus eurekensis
ASEU3,,ASEU3,Astragalus eurylobus
ASFA3,,ASFA3,Astragalus falcatus
ASHAF,ASFA7,ASFA7,Astragalus famelicus
ASFE2,,ASFE2,Astragalus feensis
ASROF,ASFE7,ASFE7,Astragalus fernaldii
ASFI,,ASFI,Astragalus filipes
ASFI,ASFIR,ASFIR,Astragalus filipes var. residuus
ASFL,,ASFL,Astragalus flavus
ASFL,ASFLA,ASFLA,Astragalus flavus var. argillosus
ASFL,ASFLC,ASFLC,Astragalus flavus var. candicans
ASFL2,,ASFL2,Astragalus flexuosus
ASFLD,,ASFLD,Astragalus flexuosus var. diehlii
ASFLF,ASFLE,ASFLE,Astragalus flexuosus var. elongatus
ASFLF,,ASFLF,Astragalus flexuosus var. flexuosus
ASFLG,,ASFLG,Astragalus flexuosus var. greenei
