"taxon","auth","gbif","usda"
"Anabaena lutea","","Anabaena lutea",
"Anabaena minutissima","Lemmerm.","Anabaena minutissima",
"Anabaena oscillarioides","Bory ex Bornet & Flahault","Anabaena oscillarioides",
"Anabaena oscillarioides var. stenospora","Bornet & Flahault","Anabaena oscillarioides var. stenospora",
"Anabaena sp.","sp001858025","Anabaena sp.",
"Anabaena sphaerica","Bornet & Flahault","Anabaena sphaerica",
"Anabaena torulosa","Lagerh. ex Bornet & Flahault","Anabaena torulosa",
"Anabaena unispora","Gardner","Anabaena unispora",
"Anabaena variabilis","A","Anabaena variabilis",
"Anabaena verrucosa","J.B.Petersen","Anabaena verrucosa",
"Anabaena wisconsinense","Prescott","Anabaena wisconsinense",
"Aulosira implexa","Bornet & Flahault, 1885","Aulosira implexa",
"Aulosira laxa","Kirchn. ex Bornet & Flahault","Aulosira laxa",
"Cylindrospermum catenatum","Ralfs","Cylindrospermum catenatum",
"Anabaena licheniformis","Bory","Cylindrospermum licheniforme",
"Cylindrospermum licheniforme","Kütz. ex Bornet & Flahault","Cylindrospermum licheniforme",
"Cylindrospermum majus","Kütz. ex Bornet & Flahault","Cylindrospermum majus",
"Nodularia spumigena var. major","Bornet & Flahault, 1886","Cylindrospermum majus",
"Cylindrospermum marchicum","Lemmerm.","Cylindrospermum marchicum",
"Cylindrospermum minimum","G.S.West","Cylindrospermum minimum",
"Cylindrospermum minutissimum","Collins","Cylindrospermum minutissimum",
"Cylindrospermum muscicola","Kütz. ex Bornet & Flahault","Cylindrospermum muscicola",
"Cylindrospermum sp.","sp003994795","Cylindrospermum sp.",
"Cylindrospermum stagnale","Bornet & Flahault","Cylindrospermum stagnale",
"Nostoc caeruleum","Lyngbye ex Bornet & Flahault","Nostoc caeruleum",
"Nostoc coeruleum","(Lyngb.) Bornet & Flahault","Nostoc caeruleum",
"Nostoc calcicola","Bréb. ex Bornet & Flahault","Nostoc calcicola",
"Nostoc carneum","C.Agardh ex Bornet & Flahault","Nostoc carneum",
"Nostoc spongiaeforme","C.Agardh ex Bornet & Flahault","Nostoc carneum",
"Nostoc comminutum","Kuetzing","Nostoc comminutum",
"Nostoc commune","Vaucher ex Bornet & Flahault","Nostoc commune",
"Nostoc commune var. commune","","Nostoc commune var. commune",
"Nostoc commune var. flagelliforme","(Berk. & Curtis) Bornet & Flahault","Nostoc commune var. flagelliforme",
"Nostoc depressum","Wood","Nostoc depressum",
"Nostoc edaphicum","B","Nostoc edaphicum",
"Nostoc ellipsosporum","Rabenhorst ex Bornet & Flahault","Nostoc ellipsosporum",
"Nostoc flagelliforme","A","Nostoc flagelliforme",
"Nostoc foliaceum","Moug. ex Bornet & Flahault","Nostoc foliaceum",
"Nostoc humifusum","Carmich. ex Bornet & Flahault","Nostoc humifusum",
"Nostoc kihlmanii","Lemmerm.","Nostoc kihlmanii",
"Nostoc linckia","B","Nostoc linckia",
"Nostoc piscinale","Kütz.","Nostoc linckia",
"Nostoc maculiforme","Bornet & Flahault, 1888","Nostoc maculiforme",
"Nostoc microscopicum","Carmich. ex Bornet & Flahault","Nostoc microscopicum",
"Nostoc minutissimum","Kütz. ex Bornet & Flahault","Nostoc minutissimum",
"Desmonostoc muscorum","(C.Agardh ex Bornet & Flahault)","Nostoc muscorum",
"Nostoc muscorum","C.Agardh ex Bornet & Flahault","Nostoc muscorum",
"Nostoc cuticulare","Bornet & Flahault","Nostoc paludosum",
"Nostoc entophytum","Bornet & Flahault","Nostoc paludosum",
"Nostoc paludosum","Kütz. ex Bornet & Flahault","Nostoc paludosum",
"Nostoc parmelioides","Kütz. ex Bornet & Flahault","Nostoc parmelioides",
"Nostoc pruniforme","C.Agardh ex Bornet & Flahault","Nostoc pruniforme",
"Nostoc punctiforme","Har.","Nostoc punctiforme",
"Nostoc rivulare","Kütz.","Nostoc rivulare",
"Nostoc sp.","piscinale","Nostoc sp.",
"Nostoc sphaericum","Vaucher ex Bornet & Flahault","Nostoc sphaericum",
"Nostoc sphaeroides","Kütz. ex Bornet & Flahault","Nostoc sphaeroides",
"Nostoc verrucosum","Vaucher ex Bornet & Flahault","Nostoc verrucosum",
"Nostoc zetterstedtii","Aresch. ex Bornet & Flahault","Nostoc zetterstedtii",
"Anabaena azollae","Strasb.","Trichormus azollae",
"Trichormus azollae","(Strasb.) Komárek & Anagn.","Trichormus azollae",
"Anabaena fertilissima","Rao","Trichormus fertilissima",
"Trichormus fertilissima","(Rao) Komárek & Anagn.","Trichormus fertilissima",
"Trichormus variabilis","(Kütz. ex Bornet & Flahault) Komárek & Anagn.","Trichormus variabilis",
"Wollea saccata","Bornet & Flahault, 1886","Wollea saccata",
"Calothrix adscendens","(Naeg.) Born. & Flah.","Calothrix adscendens",
"Calothrix aeruginea","Thur. ex Bornet & Flahault","Calothrix aeruginea",
"Calothrix atricha","Fremy, 1930","Calothrix atricha",
"Calothrix braunii","Bornet & Flahault","Calothrix braunii",
"Calothrix confervicola","J.Agardh ex Bornet & Flahault","Calothrix confervicola",
