"taxon","auth","gbif","usda"
"Tortula robusta","Hook. & Grev.","Syntrichia robusta",
"Tortula robusta var. laxa","E.B.Bartram","Syntrichia robusta",
"Tortula robusta var. robusta","","Syntrichia robusta",
"Syntrichia robusta var. recurva","(Lightowl.) R.H.Zander","Syntrichia robusta var. recurva",
"Tortula robusta var. recurva","Lightowl.","Syntrichia robusta var. recurva",
"Syntrichia rubella","(Hook.f. & Wilson) R.H.Zander","Syntrichia rubella",
"Tortula acuta","R.Br.bis","Syntrichia rubella",
"Tortula rubella","Hook.f. & Wilson","Syntrichia rubella",
"Tortula tenella","Broth.","Syntrichia rubella",
"Syntrichia rubra","(Mitt.) R.H.Zander","Syntrichia rubra",
"Syntrichia rubra var. subantarctica","(Sainsbury) R.H.Zander","Syntrichia rubra",
"Tortula rubra","Mitt.","Syntrichia rubra",
"Tortula subantarctica","Sainsbury","Syntrichia rubra",
"Syntrichia rupicola","B.H.Allen","Syntrichia rupicola",
"Barbula ruralis","Hedw.","Syntrichia ruralis",
"Syntrichia ruralis","(Hedw.) F.Weber & D.Mohr","Syntrichia ruralis","Tortula ruralis"
"Tortula densa","(Velen.) J.-P.Frahm","Syntrichia ruralis",
"Tortula ruralis","(Hedw.) G.Gaertn., B.Mey. & Scherb.","Syntrichia ruralis","Tortula ruralis"
"Tortula ruralis ssp. ruralis","","Syntrichia ruralis",
"Tortula ruralis var. densiretis","(Venturi) Paris","Syntrichia ruralis",
"Tortula submegalocarpa","(Kindb.) Broth.","Syntrichia ruralis",
"Syntrichia ruralis var. epilosa","(Venturi) J.J.Amann","Syntrichia ruralis var. epilosa",
"Syntrichia ruralis var. gigantea","(Lesq.) R.H.Zander","Syntrichia ruralis var. gigantea",
"Syntrichia ruralis var. gracilis","(C.E.O.Jensen) R.H.Zander","Syntrichia ruralis var. gracilis",
"Barbula ruraliformis","Besch.","Syntrichia ruralis var. ruraliformis",
"Syntrichia ruraliformis","(Besch.) Cardot","Syntrichia ruralis var. ruraliformis",
"Syntrichia ruralis var. arenicola","J.J.Amann","Syntrichia ruralis var. ruraliformis",
"Syntrichia ruralis var. ruraliformis","(Besch.) Delogne","Syntrichia ruralis var. ruraliformis",
"Tortula ruraliformis","(Besch.) Ingham","Syntrichia ruralis var. ruraliformis","Tortula ruralis"
"Tortula ruralis ssp. ruraliformis","(Besch.) Dixon","Syntrichia ruralis var. ruraliformis",
"Tortula ruralis var. arenicola","Braithw.","Syntrichia ruralis var. ruraliformis",
"Tortula ruralis var. ruraliformis","(Besch.) De Wild.","Syntrichia ruralis var. ruraliformis",
"Syntrichia ruralis ssp. ruralis","","Syntrichia ruralis var. ruralis",
"Syntrichia ruralis var. ruralis","(Hedw.) F.Weber & D.Mohr","Syntrichia ruralis var. ruralis",
"Tortula ruralis var. ruralis","","Syntrichia ruralis var. ruralis",
"Syntrichia ruralis var. spiralis","(Herzog) R.H.Zander","Syntrichia ruralis var. spiralis",
"Syntrichia sacroneurum","Ochyra & R.H.Zander, 2007","Syntrichia sacroneurum",
"Sarconeurum glaciale","(Müll.Hal.) Cardot & Bryhn","Syntrichia sarconeurum",
"Syntrichia sarconeurum","Ochyra & R.H.Zander","Syntrichia sarconeurum",
"Syntrichia fuscoviridis","(Cardot) R.H.Zander","Syntrichia saxicola",
"Syntrichia saxicola","(Cardot) R.H.Zander","Syntrichia saxicola",
"Tortula fuscoviridis","Cardot","Syntrichia saxicola",
"Tortula saxicola","Cardot","Syntrichia saxicola",
"Syntrichia scabrella","(Dusén) R.H.Zander","Syntrichia scabrella",
"Tortula scabrella","Dusén","Syntrichia scabrella",
"Syntrichia scabrinervis","(Müll.Hal.) R.H.Zander","Syntrichia scabrinervis",
"Tortula scabrinervis","(Müll.Hal.) Mont.","Syntrichia scabrinervis",
"Syntrichia schnyderi","(Müll.Hal.) R.H.Zander","Syntrichia schnyderi",
"Syntrichia serrata","(Dixon) R.H.Zander","Syntrichia serrata",
"Tortula serrata","Dixon","Syntrichia serrata",
"Syntrichia serripungens","(Lorentz & Müll.Hal.) R.H.Zander","Syntrichia serripungens",
"Tortula serripungens","(Lorentz & Müll.Hal.) Broth.","Syntrichia serripungens",
"Syntrichia serripungens var. exesa","(Müll.Hal.) R.H.Zander","Syntrichia serripungens var. exesa",
"Hennediella serrulata","(Hook. & Grev.) R.H.Zander","Syntrichia serrulata",
"Syntrichia prostrata","(Mont.) R.H.Zander","Syntrichia serrulata",
"Syntrichia serrulata","(Hook. & Grev.) M.J.Cano","Syntrichia serrulata",
"Tortula prostrata","Mont.","Syntrichia serrulata",
"Tortula serrulata","Hook. & Grev.","Syntrichia serrulata",
"Barbula alpina","Bruch & Schimp.","Syntrichia sinensis",
"Syntrichia alpina","(Bruch & Schimp.) Jur.","Syntrichia sinensis",
"Syntrichia sinensis","(Müll.Hal.) Ochyra","Syntrichia sinensis",
"Tortula alpina","(Bruch & Schimp.) Bruch","Syntrichia sinensis",
"Tortula sinensis","(Müll.Hal.) Broth.","Syntrichia sinensis","Tortula sinensis"
"Syntrichia socialis","(Dusén) R.H.Zander","Syntrichia socialis",
"Syntrichia squarripila","(Thér.) Herzog ex Brinda, Jáuregui-Lazo & Mishler","Syntrichia squarripila",
"Tortula squarripila","Thér.","Syntrichia squarripila",
"Barbula subaristata","Bruch & Schimp. ex Müll.Hal.","Syntrichia subaristata",
"Syntrichia subaristata","(Bruch & Schimp. ex Müll.Hal.) R.H.Zander","Syntrichia subaristata",
"Tortula subaristata","(Bruch & Schimp. ex Müll.Hal.) Broth.","Syntrichia subaristata",
"Syntrichia submontana","(Broth.) Ochyra","Syntrichia submontana",
"Syntrichia subpapillosa","(Cardot & Broth.) Matteri","Syntrichia subpapillosa",
"Tortula subpapillosa","Cardot & Broth.","Syntrichia subpapillosa",
"Syntrichia ruralis var. subpapillosissima","(Bizot & R.B.Pierrot ex W.A.Kramer) R.H.Zander","Syntrichia subpapillosissima",
"Syntrichia subpapillosissima","(Bizot & R.B.Pierrot ex W.A.Kramer) M.T.Gallego & J.Guerra","Syntrichia subpapillosissima",
"Syntrichia sucrosa","Kellman","Syntrichia sucrosa",
"Barbula pulvinata","Jur.","Syntrichia virescens",
"Syntrichia pulvinata","(Jur.) Jur.","Syntrichia virescens",
"Syntrichia virescens","(De Not.) Ochyra","Syntrichia virescens",
"Tortula danica","(M.T.Lange) Hartm. ex Limpr.","Syntrichia virescens",
"Tortula pulvinata","(Jur.) Limpr.","Syntrichia virescens",
"Tortula virescens","(De Not.) De Not.","Syntrichia virescens","Tortula virescens"
"Barbula flagellaris","Schimp.","Syntrichiadelphus flagellaris",
"Syntrichia flagellaris","(Schimp.) R.H.Zander","Syntrichiadelphus flagellaris",
"Syntrichiadelphus flagellaris","(Schimp.) Brinda, Jáuregui-Lazo & Mishler","Syntrichiadelphus flagellaris",
"Tortula flagellaris","(Schimp.) Mont.","Syntrichiadelphus flagellaris",
"Tortula perflaccida","Broth. ex Dusén","Syntrichiadelphus flagellaris",
"Eucladium irroratum","(Mitt.) A.Jaeger","Tetracoscinodon irroratus",
"Tetracoscinodon irroratus","(Mitt.) R.H.Zander","Tetracoscinodon irroratus",
"Weissia irrorata","Mitt.","Tetracoscinodon irroratus",
"Tetrapterum cylindricum","(Taylor) A.Jaeger","Tetrapterum cylindricum",
"Tetrapterum lamprocarpum","(Müll.Hal.) Broth.","Tetrapterum lamprocarpum",
"Tetrapterum lamprothecium","(Müll.Hal.) Broth.","Tetrapterum lamprothecium",
"Tetrapterum sullivanii","(Müll.Hal.) Broth.","Tetrapterum sullivanii",
"Phascum tetragonum","Hook.","Tetrapterum tetragonum",
"Tetrapterum tetragonum","(Hook.) A.L.Andrews","Tetrapterum tetragonum",
"Tetrapterum tetrapteroides","(Müll.Hal.) Broth.","Tetrapterum tetrapteroides",
"Tetrapterum weymouthii","(Müll.Hal.) Broth.","Tetrapterum weymouthii",
"Timmiella acaulon","(Müll.Hal.) R.H.Zander","Timmiella acaulon",
"Timmiella argentinica","Broth.","Timmiella acaulon",
"Rhamphidium crassicostatum","X.J.Li","Timmiella anomala",
"Timmiella anomala","(Bruch & Schimp.) Limpr.","Timmiella anomala","Timmiella anomala"
"Timmiella merrillii","Broth.","Timmiella anomala",
"Timmiella subanomala","(Besch.) Broth.","Timmiella anomala",
"Trichostomum anomalum","(Bruch & Schimp.) Schimp.","Timmiella anomala",
"Timmiella barbula","Limpr.","Timmiella barbuloides",
"Timmiella barbuloides","(Brid.) Mönk.","Timmiella barbuloides",
"Tortula cirrhata","Arnell","Timmiella barbuloides",
"Trichostomum barbula","Schwägr.","Timmiella barbuloides",
"Trichostomum barbuloides","Brid.","Timmiella barbuloides",
"Timmiella brevidens","Dixon","Timmiella brevidens",
"Timmiella cameruniae","Broth.","Timmiella cameruniae",
"Timmiella corniculata","(Wahlenb.) Broth.","Timmiella corniculata",
"Timmiella crassinervis","(Hampe) L.F.Koch","Timmiella crassinervis","Timmiella crassinervis"
"Timmiella flexiseta var. vancouveriensis","(Broth.) Grout","Timmiella crassinervis","Timmiella crassinervis"
"Timmiella diminuta","(Müll.Hal.) P.C.Chen","Timmiella diminuta",
"Timmiella giraldii","Broth.","Timmiella diminuta",
"Timmiella flexiseta","(Bruch) Limpr.","Timmiella flexiseta",
"Trichostomum flexipes","Bruch & Schimp.","Timmiella flexiseta",
"Timmiella pelindaba","Magill","Timmiella pelindaba",
"Timmiella subintegra","Dixon","Timmiella subintegra",
"Timmiella umbrosa","(Müll.Hal.) Broth.","Timmiella umbrosa",
"Tortella alpicola","Dixon","Tortella alpicola",
"Tortella tortelloides","(S.W.Greene) H.Rob.","Tortella alpicola","Tortella tortelloides"
"Tortella aprica","(Müll.Hal.) Broth.","Tortella aprica",
"Tortella arctica","(Arnell) Crundw. & Nyholm","Tortella arctica","Tortella arctica"
"Tortella tortuosa var. arctica","(Arnell) Broth.","Tortella arctica",
"Tortella bryotropica","R.H.Zander","Tortella bryotropica",
"Tortella contortifolia","(Mitt.) Broth.","Tortella contortifolia",
"Tortella cryptocarpa","(G.Roth) R.H.Zander","Tortella cryptocarpa",
"Tortella cuspidatissima","(Cardot & Thér.) O.Werner, Köckinger & Ros","Tortella cuspidatissima",
"Trichostomum cuspidatissimum","Cardot & Thér.","Tortella cuspidatissima","Trichostomum arcticum"
"Tortella cyrtobasis","Dixon","Tortella cyrtobasis",
"Tortella dakinii","J.H.Willis","Tortella dakinii",
"Tortella densa","(Lorentz & Molendo) Crundw. & Nyholm","Tortella densa",
"Tortella inclinata var. densa","(Lorentz & Molendo) Limpr.","Tortella densa",
"Tortella tortuosa var. brevifolia","Breidl.","Tortella densa",
"Hymenostomum eckendorffii","P.de la Varde","Tortella eckendorffii",
"Tortella eckendorffii","(P.de la Varde) R.H.Zander","Tortella eckendorffii",
"Tortella fasciculata","(Culm.) Culm.","Tortella fasciculata",
"Tortella flavovirens","(Bruch) Broth.","Tortella flavovirens","Tortella flavovirens"
"Tortella rubripes","(Mitt.) Broth.","Tortella flavovirens",
"Trichostomum flavovirens","Bruch","Tortella flavovirens",
"Tortella flavovirens var. flavovirens","","Tortella flavovirens var. flavovirens",
"Tortella flavovirens var. glareicola","(T.A.Chr.) Crundw. & Nyholm","Tortella flavovirens var. glareicola",
"Tortella glareicola","T.A.Chr.","Tortella flavovirens var. glareicola",
"Tortella flavovirens var. papillosissima","Sérgio & Casas","Tortella flavovirens var. papillosissima",
"Barbula fragilis","(Drumm.) Schimp.","Tortella fragilis",
"Didymodon fragilis","Hook. & Wilson","Tortella fragilis",
"Mollia fragilis","(Drumm.) Lindb.","Tortella fragilis",
"Tortella fragilis","(Drumm.) Limpr.","Tortella fragilis","Tortella fragilis"
"Trichostomum fragile","(Drumm.) Müll.Hal.","Tortella fragilis",
"Tortella germainii","(Müll.Hal.) Broth.","Tortella germainii",
"Tortella goniospora","(Müll.Hal.) R.H.Zander","Tortella goniospora",
"Tortella hosseusii","Herzog","Tortella hosseusii",
"Barbula caespitosa","Schwägr.","Tortella humilis",
"Barbula humilis","Hedw.","Tortella humilis",
"Barbula pallidoviridis","Müll.Hal.","Tortella humilis",
"Tortella caespitosa","(Schwägr.) Limpr.","Tortella humilis","Tortella humilis"
"Tortella humilis","(Hedw.) Jenn.","Tortella humilis","Tortella humilis"
"Tortella japonica","(Besch.) Broth.","Tortella humilis",
"Tortella theriotii","Broth. & P.de la Varde","Tortella humilis",
"Tortula humilis","(Hedw.) Turner","Tortella humilis",
"Barbula inclinata","(R.Hedw.) Schwägr.","Tortella inclinata",
"Barbula inclinatula","Müll.Hal. & Kindb.","Tortella inclinata",
"Mollia inclinata","(R.Hedw.) Lindb.","Tortella inclinata",
"Tortella inclinata","(R.Hedw.) Limpr.","Tortella inclinata","Tortella inclinata"
"Tortella inclinata var. inclinata","","Tortella inclinata",
"Tortella inclinatula","(Müll.Hal. & Kindb.) Broth.","Tortella inclinata","Tortella inclinata"
"Tortula inclinata","R.Hedw.","Tortella inclinata",
"Tortella inflexa","(Bruch) Broth.","Tortella inflexa",
"Trichostomum inflexum","Bruch","Tortella inflexa",
"Tortella involutifolia","Dixon","Tortella involutifolia",
"Tortella jugicola","(Duby) Paris","Tortella jugicola",
"Tortella knightii","(Mitt.) Broth.","Tortella knightii",
"Tortula knightii","Mitt.","Tortella knightii",
"Tortella limbata","(Schiffn.) Geh. & Herzog","Tortella limbata",
"Barbula linearis","Sw. ex F.Weber & D.Mohr","Tortella linearis",
"Tortella linearis","(Sw.) R.H.Zander","Tortella linearis",
"Tuerckheimia linearis","(Sw.) E.Britton","Tortella linearis",
"Tortella mediterranea","Köckinger, Lüth, O.Werner & Ros","Tortella mediterranea",
"Tortella mooreae","Sainsbury","Tortella mooreae",
"Barbula nitida","(Lindb.) Jur.","Tortella nitida",
"Tortella cirrifolia","(Mitt.) Broth.","Tortella nitida",
"Tortella nitida","(Lindb.) Broth.","Tortella nitida",
"Tortula cirrifolia","Mitt.","Tortella nitida",
"Tortula nitida","Lindb.","Tortella nitida",
"Trichostomum diffractum","Mitt.","Tortella nitida",
"Trichostomum nitidum","(Lindb.) Schimp.","Tortella nitida",
"Tortella fragilifolia","(Jur.) G.Roth","Tortella nitida var. fragilifolia",
"Tortella nitida var. fragilifolia","(Jur.) Köckinger & Hedenäs","Tortella nitida var. fragilifolia",
"Tortella tortuosa var. fragilifolia","(Jur.) Limpr.","Tortella nitida var. fragilifolia",
"Tortella nitida var. irrigata","(H.Winter) R.H.Zander","Tortella nitida var. irrigata",
"Tortella perrufula","(Müll.Hal.) Broth.","Tortella perrufula",
"Tortella pseudocaespitosa","(Müll.Hal.) Broth.","Tortella pseudocaespitosa",
"Tortella pseudocaespitosa var. pungens","(Müll.Hal.) Paris","Tortella pseudocaespitosa var. pungens",
"Tortella pseudofragilis","(Thér.) Köckinger & Hedenäs","Tortella pseudofragilis",
"Tortella rigens","Alberts.","Tortella rigens","Tortella rigens"
"Tortella simplex","H.Rob.","Tortella simplex",
"Tortella smithii","C.C.Towns.","Tortella smithii",
"Tortella somaliae","(Müll.Hal.) R.H.Zander","Tortella somaliae",
"Tortella spitsbergensis","(Bizot & Thér.) O.Werner, Köckinger & Ros","Tortella spitsbergensis",
"Trichostomum arcticum","Kaal.","Tortella spitsbergensis","Trichostomum arcticum"
"Tortella subflavovirens","Broth. & Watts","Tortella subflavovirens",
"Barbula tortuosa","(Schrad. ex Hedw.) F.Weber & D.Mohr","Tortella tortuosa",
"Mollia tortuosa","(Schrad. ex Hedw.) Schrank ex Lindb.","Tortella tortuosa",
"Tortella bambergeri","(Schimp.) Broth.","Tortella tortuosa",
"Tortella brotheri","(Lindb. ex Broth.) Broth.","Tortella tortuosa",
"Tortella fleischeri","(E.Bauer) J.J.Amann","Tortella tortuosa",
"Tortella tortuosa","(Schrad. ex Hedw.) Limpr.","Tortella tortuosa","Tortella tortuosa"
"Tortella tortuosa var. angustifolia","(Jur.) Limpr.","Tortella tortuosa",
"Tortella tortuosa var. bambergeri","(Schimp.) Düll","Tortella tortuosa",
"Tortella tortuosa var. fleischeri","(E.Bauer) Latzel","Tortella tortuosa",
"Tortella tortuosa var. rigida","(Boulay) Limpr.","Tortella tortuosa",
"Tortula tortuosa","Schrad. ex Hedw.","Tortella tortuosa",
"Trichostomum bambergeri","Schimp.","Tortella tortuosa",
"Trichostomum fleischeri","E.Bauer","Tortella tortuosa",
"Trichostomum tortuosum","(Schrad. ex Hedw.) Dixon","Tortella tortuosa",
"Tortella vernicosa","(Renauld & Cardot) Broth.","Tortella vernicosa",
"Hyophila viridula","Cardot & P.de la Varde","Tortella walkeri",
"Hyophila walkeri","Broth.","Tortella walkeri",
"Tortella walkeri","(Broth.) R.H.Zander","Tortella walkeri",
"Tortella xanthocarpa","(Schimp. ex Müll.Hal.) Broth.","Tortella xanthocarpa",
"Trichostomum xanthocarpum","Schimp. ex Müll.Hal.","Tortella xanthocarpa",
"Astomum multicapsulare","(Sm.) Bruch & Schimp.","Tortula acaulon",
"Phascum acaulon","With.","Tortula acaulon","Phascum cuspidatum"
"Phascum acaulon var. curvisetum","(Dicks.) Brockm.","Tortula acaulon",
"Phascum cuspidatum","Schreb. ex Hedw.","Tortula acaulon","Phascum cuspidatum"
"Phascum cuspidatum ssp. cuspidatum","","Tortula acaulon",
"Phascum cuspidatum var. americanum","Renauld & Cardot","Tortula acaulon","Phascum cuspidatum"
"Phascum cuspidatum var. curvisetum","(Dicks.) Nees & Hornsch.","Tortula acaulon",
"Phascum cuspidatum var. mitriforme","Limpr.","Tortula acaulon",
"Phascum elatum","Brid.","Tortula acaulon",
"Phascum mitraeforme","(Limpr.) Warnst.","Tortula acaulon",
"Phascum mitriforme","(Limpr.) Warnst.","Tortula acaulon",
"Tortula acaulon","(With.) R.H.Zander","Tortula acaulon",
"Tortula atherodes","Zand.","Tortula acaulon",
"Weissia multicapsularis","(Sm.) Mitt.","Tortula acaulon",
"Phascum cuspidatum var. cuspidatum","","Tortula acaulon var. acaulon",
"Tortula acaulon var. acaulon","","Tortula acaulon var. acaulon",
"Tortula acaulon var. diaphora","(I.Hagen) R.H.Zander","Tortula acaulon var. diaphora",
"Phascum cuspidatum ssp. papillosum","(Lindb.) J.Guerra & Ros","Tortula acaulon var. papillosa",
"Phascum cuspidatum var. papillosum","(Lindb.) G.Roth","Tortula acaulon var. papillosa",
"Tortula acaulon var. papillosa","(Lindb.) R.H.Zander","Tortula acaulon var. papillosa",
"Phascum cuspidatum var. piliferum","(Schreb. ex Hedw.) Hook. & Taylor","Tortula acaulon var. pilifera","Phascum cuspidatum"
"Phascum piliferum","Schreb. ex Hedw.","Tortula acaulon var. pilifera",
"Tortula acaulon var. pilifera","(Schreb. ex Hedw.) R.H.Zander","Tortula acaulon var. pilifera",
"Phascum cuspidatum var. retortifolium","J.Guerra & Ros","Tortula acaulon var. retortifolia",
"Tortula acaulon var. retortifolia","(J.Guerra & Ros) R.H.Zander","Tortula acaulon var. retortifolia",
"Phascum cuspidatum var. schreberianum","(Dicks.) Brid.","Tortula acaulon var. schreberiana","Phascum cuspidatum"
"Tortula acaulon var. schreberiana","(Dicks.) R.H.Zander","Tortula acaulon var. schreberiana",
"Tortula aculeonervis","(Müll.Hal.) Broth.","Tortula aculeonervis",
"Tortula afanassievii","Laz.","Tortula afanassievii",
"Tortula altipes","(Broth.) R.H.Zander","Tortula altipes",
"Barbula amplexa","Lesq.","Tortula amplexa",
"Syntrichia amplexa","(Lesq.) R.H.Zander","Tortula amplexa",
"Tortula amplexa","(Lesq.) Steere","Tortula amplexa","Tortula amplexa"
"Tortula ampliretis","Crundw. & D.G.Long","Tortula ampliretis",
"Tortula arenaria","Otnyukova","Tortula arenaria",
"Pottia stevensii","R.Br.bis","Tortula areolata",
"Tortula areolata","(C.Knight) Fife","Tortula areolata",
"Tortula arequipensis","M.J.Cano & M.T.Gallego","Tortula arequipensis",
"Barbula atrovirens","(Sm.) Schimp.","Tortula atrovirens",
"Desmatodon atrovirens","(Sm.) Jur.","Tortula atrovirens",
"Desmatodon convolutus","(Brid.) Grout","Tortula atrovirens","Desmatodon convolutus"
"Desmatodon nervosus","De Not.","Tortula atrovirens",
"Didymodon nervosus","Hook. & Taylor","Tortula atrovirens",
"Didymodon schimperi","(Mont.) Broth.","Tortula atrovirens",
"Grimmia atrovirens","Sm.","Tortula atrovirens",
"Tortula atrovirens","(Sm.) Lindb.","Tortula atrovirens",
"Trichostomum convolutum","Brid.","Tortula atrovirens",
"Trichostomum nervosum","Bruch","Tortula atrovirens",
"Desmatodon bogosicus","Müll.Hal.","Tortula bogosica",
"Tortula bogosica","(Müll.Hal.) R.H.Zander","Tortula bogosica",
"Barbula bolanderi","Lesq.","Tortula bolanderi",
"Syntrichia bolanderi","(Lesq.) R.H.Zander","Tortula bolanderi",
"Tortula bolanderi","(Lesq.) M.Howe","Tortula bolanderi","Tortula bolanderi"
"Tortula brandisii","(Müll.Hal.) Broth.","Tortula brandisii",
"Barbula brevipes","Lesq.","Tortula brevipes",
"Tortula brevipes","(Lesq.) Broth.","Tortula brevipes","Tortula brevipes"
"Tortula brevissima","Schiffn.","Tortula brevissima",
"Tortula buyssonii","(H.Philib.) Broth.","Tortula buyssonii",
"Tortula californica","E.B.Bartram","Tortula californica","Tortula californica"
"Barbula canescens","(Mont.) Bruch & Schimp.","Tortula canescens",
"Tortula canescens","Mont.","Tortula canescens",
"Tortula capillaris","(Dixon ex P.C.Chen) R.H.Zander","Tortula capillaris",
"Tortula cardotii","Thér. & Naveau","Tortula cardotii",
"Gymnostomum intermedium","Turner","Tortula caucasica",
"Pottia intermedia","(Turner) Fürnr.","Tortula caucasica","Pottia intermedia"
"Pottia lanceolata var. intermedia","(Turner) Milde","Tortula caucasica",
"Pottia truncata var. major","(F.Weber & D.Mohr) Bruch & Schimp.","Tortula caucasica","Pottia intermedia"
"Tortula caucasica","Lindb.","Tortula caucasica",
"Tortula modica","R.H.Zander","Tortula caucasica",
"Desmatodon cernuus","(Huebener) Bruch & Schimp.","Tortula cernua","Desmatodon cernuus"
"Desmatodon cernuus var. xanthopus","Kindb.","Tortula cernua",
"Desmatodon randii","(Kenn.) Laz.","Tortula cernua","Desmatodon randii"
"Didymodon latifolius","Wahlenb.","Tortula cernua",
"Didymodon pilifer","(Brid.) Wahlenb.","Tortula cernua",
"Entosthodon neoscoticus","M.S.Br.","Tortula cernua","Desmatodon randii"
"Pottia randii","Kenn.","Tortula cernua","Desmatodon randii"
"Tortula cernua","(Huebener) Lindb.","Tortula cernua",
"Tortula randii","(Kenn.) R.H.Zander","Tortula cernua",
"Tortula chubutensis","Broth.","Tortula chubutensis",
"Desmatodon yuennanensis","Broth.","Tortula chungtienia",
"Tortula chungtienia","R.H.Zander","Tortula chungtienia",
"Tortula crenata","Mitt.","Tortula crenata",
"Barbula cuneifolia","(Dicks.) F.Weber & D.Mohr","Tortula cuneifolia",
"Bryum cuneifolium","Dicks.","Tortula cuneifolia",
"Tortula cuneifolia","(Dicks.) Turner","Tortula cuneifolia",
"Tortula cuneifolia var. marginata","M.Fleisch.","Tortula cuneifolia",
"Tortula cuneifolia var. blissii","R.H.Zander","Tortula cuneifolia var. blissii",
"Tortula cuspidatissima","(Müll.Hal.) Broth.","Tortula cuspidatissima",
"Crumia deciduidentata","Sharp & Z.Iwats.","Tortula deciduidentata","Crumia deciduidentata"
"Tortula deciduidentata","(Sharp & Z.Iwats.) R.H.Zander","Tortula deciduidentata",
"Tortula demawendica","Schiffn.","Tortula demawendica",
"Pottia maritima","(R.Br.bis) Broth.","Tortula dendyi",
"Tortula dendyi","D.G.Long & Brinda","Tortula dendyi",
"Tortula maritima","(R.Br.bis) R.H.Zander","Tortula dendyi",
"Tortula diaguita","(R.H.Zander & Mahú) M.J.Cano & M.T.Gallego","Tortula diaguita",
"Tortula edentula","Ignatova & Ignatov","Tortula edentula",
"Hyophilopsis entosthodontacea","Cardot & Dixon","Tortula entosthodontacea",
"Tortula entosthodontacea","(Cardot & Dixon) R.H.Zander","Tortula entosthodontacea",
"Tortula flexomarginata","(Müll.Hal. & Hampe) Mitt.","Tortula flexomarginata",
"Barbula flexifolia","Brid.","Tortula flexuosa",
"Tortula flexuosa","Brid.","Tortula flexuosa",
"Tortula freibergii","Dixon & Loeske","Tortula freibergii",
"Tortula galilaea","(Herrnst. & Heyn) Ezer & R.H.Zander","Tortula galilaea",
"Tortula grandiretis","Broth.","Tortula grandiretis",
"Desmatodon guepinii","Bruch & Schimp.","Tortula guepinii","Desmatodon guepinii"
"Tortula guepinii","(Bruch & Schimp.) Broth.","Tortula guepinii",
"Desmatodon glacialis","Funck ex Brid.","Tortula hoppeana",
"Desmatodon latifolius","(Hedw.) Brid.","Tortula hoppeana","Desmatodon latifolius"
"Desmatodon latifolius var. brevicaulis","Schimp.","Tortula hoppeana",
"Desmatodon latifolius var. glacialis","(Funck ex Brid.) Ångstr.","Tortula hoppeana",
"Desmatodon latifolius var. latifolius","","Tortula hoppeana",
"Desmatodon latifolius var. muticus","(Brid.) Brid.","Tortula hoppeana","Desmatodon latifolius"
"Didymodon spathulatus","(Wahlenb.) De Not.","Tortula hoppeana",
"Tortula eucalyptrata","Lindb.","Tortula hoppeana",
"Tortula euryphylla","R.H.Zander","Tortula hoppeana",
"Tortula hoppeana","(Schultz) Ochyra","Tortula hoppeana",
"Tortula planifolia","X.J.Li","Tortula hoppeana",
"Barbula inermis","(Brid.) Garov.","Tortula inermis",
"Syntrichia inermis","(Brid.) Bruch","Tortula inermis",
"Tortula inermis","(Brid.) Mont.","Tortula inermis","Tortula inermis"
"Tortula inermis var. submarginata","Schiffn.","Tortula inermis",
"Tortula irinae","Otnyukova","Tortula irinae",
"Tortula israelis","Bizot & F.Bilewsky","Tortula israelis",
"Desmatodon kabir-khanii","Broth.","Tortula kabir-khanii",
"Tortula kabir-khanii","(Broth.) R.H.Zander","Tortula kabir-khanii",
"Tortula kneuckeri","Broth. & Geh.","Tortula kneuckeri",
"Tortula lanceolata","R.H.Zander","Tortula lanceolata",
"Desmatodon laurei","","Tortula laureri",
"Desmatodon laureri","(Schultz) Bruch & Schimp.","Tortula laureri","Desmatodon laureri"
"Tortula laureri","(Schultz) Lindb.","Tortula laureri",
"Tortula lazarenkoi","L.I.Savicz","Tortula lazarenkoi",
"Tortula leptotheca","(Broth.) P.C.Chen","Tortula leptotheca",
"Tortula leucochlora","(Müll.Hal.) Broth.","Tortula leucochlora",
"Desmatodon leucostoma","(R.Br.) Berggr.","Tortula leucostoma","Desmatodon leucostoma"
"Desmatodon obliquus","Bruch & Schimp.","Tortula leucostoma",
"Desmatodon suberectus","(Drumm.) Limpr.","Tortula leucostoma","Desmatodon leucostoma"
"Tortula leucostoma","(R.Br.) Hook. & Grev.","Tortula leucostoma",
"Anacalypta lanceolata","(Hedw.) Nees & Hornsch.","Tortula lindbergii",
"Coscinodon lanceolatus","(Hedw.) Brid.","Tortula lindbergii",
"Desmatodon lanceolatus","(Hedw.) De Not.","Tortula lindbergii",
"Grimmia lanceolata","(Hedw.) F.Weber & D.Mohr","Tortula lindbergii",
"Pottia lanceolata","(Hedw.) Müll.Hal.","Tortula lindbergii","Pottia lanceolata"
"Pottia leucodonta","Schimp., 1865","Tortula lindbergii",
"Tortula lanceola","R.H.Zander","Tortula lindbergii",
"Tortula lanceolata var. aciphylla","(Wahlenb.) Lindb.","Tortula lindbergii",
"Tortula lindbergii","Kindb. ex Broth.","Tortula lindbergii",
"Weissia lanceolata","(Hedw.) D.Mohr","Tortula lindbergii",
"Tortula lingulata","Lindb.","Tortula lingulata",
"Tortula litorea","Cardot & Broth.","Tortula litorea",
"Tortula longipila","Dusén","Tortula longipila",
"Tortula madagassa","Dixon","Tortula madagassa",
