"family","genus","type"
"Chordariaceae","Tinocladia","brown algae"
"Chordariaceae","Ulonema","brown algae"
"Ectocarpaceae","Ectocarpus","brown algae"
"Ectocarpaceae","Kuckuckia","brown algae"
"Ectocarpaceae","Pleurocladia","brown algae"
"Ectocarpaceae","Spongonema","brown algae"
"Petrospongiaceae","Petrospongium","brown algae"
"Scytosiphonaceae","Chnoospora","brown algae"
"Scytosiphonaceae","Colpomenia","brown algae"
"Scytosiphonaceae","Dactylosiphon","brown algae"
"Scytosiphonaceae","Hapterophycus","brown algae"
"Scytosiphonaceae","Hydroclathrus","brown algae"
"Scytosiphonaceae","Melanosiphon","brown algae"
"Scytosiphonaceae","Petalonia","brown algae"
"Scytosiphonaceae","Planosiphon","brown algae"
"Scytosiphonaceae","Pseudochnoospora","brown algae"
"Scytosiphonaceae","Rosenvingea","brown algae"
"Scytosiphonaceae","Scytosiphon","brown algae"
"Scytosiphonaceae","Stragularia","brown algae"
"Fucaceae","Ascophyllum","brown algae"
"Fucaceae","Fucus","brown algae"
"Fucaceae","Hesperophycus","brown algae"
"Fucaceae","Pelvetia","brown algae"
"Fucaceae","Pelvetiopsis","brown algae"
"Himanthaliaceae","Himanthalia","brown algae"
"Notheiaceae","Notheia","brown algae"
"Sargassaceae","Cystophora","brown algae"
"Sargassaceae","Cystoseira","brown algae"
"Sargassaceae","Ericaria","brown algae"
"Sargassaceae","Gongolaria","brown algae"
"Sargassaceae","Halidrys","brown algae"
"Sargassaceae","Paleocystophora","brown algae"
"Sargassaceae","Paleohalidrys","brown algae"
"Sargassaceae","Phyllotricha","brown algae"
"Sargassaceae","Polycladia","brown algae"
"Sargassaceae","Sargassum","brown algae"
"Sargassaceae","Scaberia","brown algae"
"Sargassaceae","Stephanocystis","brown algae"
"Sargassaceae","Turbinaria","brown algae"
"Xiphophoraceae","Xiphophora","brown algae"
"Ishigeaceae","Ishige","brown algae"
"Petrodermataceae","Petroderma","brown algae"
"Piliniaceae","Pilinia","brown algae"
"Agaraceae","Agarum","brown algae"
"Agaraceae","Costaria","brown algae"
"Agaraceae","Dictyoneurum","brown algae"
"Alariaceae","Alaria","brown algae"
"Alariaceae","Lessoniopsis","brown algae"
"Alariaceae","Pleurophycus","brown algae"
"Alariaceae","Pterygophora","brown algae"
"Alariaceae","Undaria","brown algae"
"Costariaceae","Dictyoneuropsis","brown algae"
"Laminariaceae","Cymathaere","brown algae"
"Laminariaceae","Cymathere","brown algae"
"Laminariaceae","Hedophyllum","brown algae"
"Laminariaceae","Laminaria","brown algae"
"Laminariaceae","Macrocystis","brown algae"
"Laminariaceae","Nereocystis","brown algae"
"Laminariaceae","Pelagophycus","brown algae"
"Laminariaceae","Postelsia","brown algae"
"Laminariaceae","Saccharina","brown algae"
"Laminariaceae","Thalassiphyllum","brown algae"
"Lessoniaceae","Ecklonia","brown algae"
"Lessoniaceae","Egregia","brown algae"
"Lessoniaceae","Eisenia","brown algae"
"Lessoniaceae","Julescraneia","brown algae"
"Lessoniaceae","Lessonia","brown algae"
"Nemodermataceae","Nemoderma","brown algae"
"Onslowiaceae","Onslowia","brown algae"
"Hapalospongidiaceae","Hapalospongidion","brown algae"
"Neoralfsiaceae","Neoralfsia","brown algae"
"Pseudoralfsiaceae","Pseudoralfsia","brown algae"
"Ralfsiaceae","Analipus","brown algae"
"Ralfsiaceae","Endoplura","brown algae"
"Ralfsiaceae","Ralfsia","brown algae"
"Scytosiphonaceae","Compsonema","brown algae"
"Scytosiphonaceae","Diplura","brown algae"
"Scytosiphonaceae","Sorapion","brown algae"
"Scytosiphonaceae","Symphyocarpus","brown algae"
"Asteronemataceae","Asteronema","brown algae"
"Bachelotiaceae","Bachelotia","brown algae"
"Splachnidiaceae","Splachnidium","brown algae"
"Cladostephaceae","Cladostephus","brown algae"
"Lithodermataceae","Heribaudiella","brown algae"
"Lithodermataceae","Pseudolithoderma","brown algae"
"Phaeostrophiaceae","Phaeostrophion","brown algae"
"Sphacelariaceae","Battersia","brown algae"
"Sphacelariaceae","Chaetopteris","brown algae"
"Sphacelariaceae","Sphacelaria","brown algae"
"Sphacelariaceae","Sphacelorbus","brown algae"
"Sphacelodermaceae","Sphaceloderma","brown algae"
"Stypocaulaceae","Halopteris","brown algae"
"Stypocaulaceae","Protohalopteris","brown algae"
"Sporochnaceae","Carpomitra","brown algae"
"Sporochnaceae","Nereia","brown algae"
"Sporochnaceae","Sporochnus","brown algae"
"Halosiphonaceae","Halosiphon","brown algae"
"Syringodermataceae","Syringoderma","brown algae"
"Cutleriaceae","Cutleria","brown algae"
"Phyllariaceae","Phyllariopsis","brown algae"
"Phyllariaceae","Saccorhiza","brown algae"
"Tilopteridaceae","Haplospora","brown algae"
"Tilopteridaceae","Tilopteris","brown algae"
"Botrydiaceae","Asterosiphon","yellow-green algae"
"Botrydiaceae","Botrydium","yellow-green algae"
"Pleurochloridaceae","Isthmochloron","yellow-green algae"
"Vaucheriaceae","Vaucheria","yellow-green algae"
"Harpidiaceae","Euopsis","lichen"
"Harpidiaceae","Harpidium","lichen"
"Strangosporaceae","Strangospora","lichen"
"Andreiomycetaceae","Andreiomyces","lichen"
"Arthoniaceae","Arthonia","lichen"
"Arthoniaceae","Arthothelium","lichen"
"Arthoniaceae","Briancoppinsia","lichen"
"Arthoniaceae","Bryostigma","lichen"
"Arthoniaceae","Coniangium","lichen"
"Arthoniaceae","Coniarthonia","lichen"
"Arthoniaceae","Coniocarpon","lichen"
